12 ; 0 ; 26 ; 24 ; 122 ; 240 ; 812 ; 2058 ; 6226 ; 17250 ; 50686 ; 145156 ; 424136
12 ; 0 ; 26 ; 24 ; 122 ; 240 ; 812 ; 2058 ; 6226 ; 17250 ; 50686 ; 145156 ; 424136
12 ; 0 ; 28 ; 24 ; 140 ; 240 ; 892 ; 1960 ; 6156 ; 15072 ; 43868 ; 113080 ; 317324
12 ; 0 ; 28 ; 24 ; 140 ; 240 ; 892 ; 1960 ; 6156 ; 15072 ; 43868 ; 113080 ; 317324
12 ; 0 ; 24 ; 24 ; 120 ; 220 ; 744 ; 1680 ; 4936 ; 12156 ; 33664 ; 86152 ; 232440
12 ; 0 ; 22 ; 18 ; 98 ; 160 ; 544 ; 1148 ; 3314 ; 7812 ; 21162 ; 52514 ; 138800
12 ; 0 ; 22 ; 18 ; 94 ; 150 ; 514 ; 1064 ; 3110 ; 7254 ; 19842 ; 49060 ; 130606
12 ; 0 ; 24 ; 18 ; 100 ; 150 ; 534 ; 1064 ; 3188 ; 7272 ; 20184 ; 49280 ; 132226
12 ; 0 ; 24 ; 24 ; 112 ; 210 ; 672 ; 1540 ; 4360 ; 10770 ; 29084 ; 74096 ; 196240
12 ; 0 ; 22 ; 12 ; 86 ; 110 ; 448 ; 840 ; 2702 ; 6078 ; 17572 ; 43076 ; 118592
12 ; 0 ; 24 ; 24 ; 120 ; 220 ; 744 ; 1680 ; 4936 ; 12156 ; 33664 ; 86152 ; 232440
12 ; 0 ; 24 ; 18 ; 100 ; 150 ; 534 ; 1064 ; 3188 ; 7272 ; 20184 ; 49280 ; 132226
12 ; 0 ; 24 ; 18 ; 104 ; 160 ; 570 ; 1162 ; 3448 ; 7974 ; 21914 ; 53812 ; 143198
12 ; 0 ; 28 ; 24 ; 132 ; 220 ; 796 ; 1708 ; 5252 ; 12588 ; 35908 ; 90684 ; 249444
12 ; 0 ; 26 ; 18 ; 110 ; 160 ; 596 ; 1176 ; 3606 ; 8190 ; 23036 ; 56078 ; 151700
12 ; 0 ; 24 ; 18 ; 96 ; 150 ; 516 ; 1064 ; 3112 ; 7254 ; 19844 ; 49060 ; 130608
12 ; 0 ; 24 ; 18 ; 96 ; 150 ; 516 ; 1064 ; 3112 ; 7254 ; 19844 ; 49060 ; 130608
