32 ; 0 ; 180 ; 360 ; 2580 ; 10360 ; 58140 ; 291060 ; 1590980 ; 8552160 ; 47161120 ; 260359000 ; 1450718460 ; 8109128300 ; 45528028180 ; 256293921940 ; 1446539308740 ; 8180442296680 ; 46342934427420 ; 262914783657880 ; 1493442543994360 ; 8492229007473060 ; 48333879402894320 ; 275309959789533312 ; 1569226858963123712 ; 8949572049861126144 ; 51066577759014895616 ; 291513766165160525824 ; 1664728081420560629760 ; 9509705705621408448512 ; 54338929474296021516288 ; 310569384363067866873856 ; 1775396625236851093929984
32 ; 0 ; 180 ; 360 ; 2580 ; 10320 ; 57132 ; 283752 ; 1533188 ; 8180532 ; 44763020 ; 245765828 ; 1362563364 ; 7586896408 ; 42450049724 ; 238272511560 ; 1341244158884 ; 7566313364716 ; 42761858046696 ; 242030716702048 ; 1371577061922460 ; 7780588025730012 ; 44174805662673824 ; 250983866913727360 ; 1426842970427513600 ; 8115666029247713280 ; 46180139952869105664 ; 262869668966104760320 ; 1496771974327607754752 ; 8524724990383468052480 ; 48562111438529270644736 ; 276689560077977297879040 ; 1576717392981788519825408
32 ; 0 ; 180 ; 360 ; 2580 ; 10320 ; 57516 ; 286440 ; 1556628 ; 8332416 ; 45772680 ; 251968816 ; 1400515644 ; 7813219440 ; 43792404780 ; 246163329480 ; 1387500325748 ; 7836712023808 ; 44341358584380 ; 251253557268952 ; 1425445766824440 ; 8095367497466784 ; 46015355216291384 ; 261752450354342176 ; 1489884401522753024 ; 8484909319870336000 ; 48343733900297920512 ; 275551095892483702784 ; 1571115559196543680512 ; 8960595924153396101120 ; 51117585491310415970304 ; 291670835544549859786752 ; 1664530475471846561021952
32 ; 0 ; 180 ; 360 ; 2580 ; 10320 ; 56904 ; 281120 ; 1512060 ; 8023050 ; 43721830 ; 239048436 ; 1321152912 ; 7335157414 ; 40947558986 ; 229372036620 ; 1288904687516 ; 7259548636920 ; 40968419647200 ; 231555850509314 ; 1310424074448710 ; 7423527885973874 ; 42089314305565632 ; 238797288967579360 ; 1355596114630953984 ; 7698944143285173248 ; 43741825604628185088 ; 248598622397622353920 ; 1413230755321708544000 ; 8035642804116549271552 ; 45698865343036353675264 ; 259928744462247947927552 ; 1478619517806035112820736
32 ; 0 ; 180 ; 360 ; 2580 ; 10320 ; 56904 ; 281120 ; 1512060 ; 8023050 ; 43721480 ; 239045532 ; 1321124736 ; 7334956382 ; 40946121214 ; 229362612000 ; 1288843737820 ; 7259166466788 ; 40966047860712 ; 231541318289812 ; 1310335606443260 ; 7422992708435720 ; 42086090352775392 ; 238777941469913984 ; 1355480357228749824 ; 7698253450625138688 ; 43737714234051280896 ; 248574202580903133184 ; 1413085997673582166016 ; 8034786255526766313472 ; 45693805484375019618304 ; 259898900501589290647552 ; 1478443742413750823550976
32 ; 0 ; 180 ; 360 ; 2580 ; 10320 ; 56958 ; 281064 ; 1510468 ; 8003232 ; 43558590 ; 237890752 ; 1313537838 ; 7288001032 ; 40664168662 ; 227713902900 ; 1279339464484 ; 7205004458968 ; 40659239534406 ; 229810095148756 ; 1300578636983670 ; 7367994582274140 ; 41775624818845344 ; 237021556105876992 ; 1345517332322582272 ; 7641574381216338944 ; 43414313049444974592 ; 246723617139843072000 ; 1402467862774514974720 ; 7973712652868121526272 ; 45341754212060923691008 ; 257865698649643285479424 ; 1466682477877699274604544
32 ; 0 ; 180 ; 360 ; 2580 ; 10320 ; 56874 ; 280364 ; 1504276 ; 7960464 ; 43263780 ; 235991668 ; 1301434410 ; 7212690394 ; 40199637644 ; 224878336260 ; 1262132218580 ; 7101157691848 ; 40034969758704 ; 226070132990698 ; 1278234510875120 ; 7234823032673834 ; 40983574773774120 ; 232319558450152480 ; 1317650864070001920 ; 7476676978719708160 ; 42439927099312586752 ; 240973487093791981568 ; 1368576262288499015680 ; 7774182867559377797120 ; 44168331447521637302272 ; 250971888800695601594368 ; 1426220547850409072394240
32 ; 0 ; 180 ; 360 ; 2580 ; 10320 ; 56832 ; 280070 ; 1501564 ; 7942482 ; 43139930 ; 235209106 ; 1296505824 ; 7182521086 ; 40016263614 ; 223776137820 ; 1255539642012 ; 7061919917762 ; 39802093729062 ; 224691326701710 ; 1270084032017050 ; 7186706821733540 ; 40699808695671248 ; 230647502703744704 ; 1307805994124694528 ; 7418752733961687040 ; 42099349528603328512 ; 238972324248700846080 ; 1356825609127200555008 ; 7705229556870023217152 ; 43763977297027347251200 ; 248602246649811826638848 ; 1412342801088539757903872
32 ; 0 ; 180 ; 360 ; 2580 ; 10320 ; 56832 ; 279972 ; 1500868 ; 7935624 ; 43093690 ; 234884012 ; 1294457868 ; 7169709716 ; 39939222412 ; 223317669840 ; 1252853924788 ; 7046286141122 ; 39711631855524 ; 224169171681100 ; 1267074657850330 ; 7169364037487004 ; 40599812932867856 ; 230070346023797312 ; 1304470640045276672 ; 7399452263187337216 ; 41987520495584329728 ; 238323601420230721536 ; 1353058414247186006016 ; 7683333805603070935040 ; 43636624005799528628224 ; 247861111835262728536064 ; 1408028067018799090499584
32 ; 0 ; 180 ; 360 ; 2580 ; 10320 ; 56850 ; 280112 ; 1502076 ; 7944246 ; 43153240 ; 235280892 ; 1297031370 ; 7186149412 ; 40042588094 ; 223961269680 ; 1256823233484 ; 7070596376878 ; 39859586479032 ; 225065064563606 ; 1272475165560200 ; 7201794491612108 ; 40793905502451488 ; 231228548669872192 ; 1311363871242886656 ; 7440382927462991872 ; 42230050999091544064 ; 239757986027326668800 ; 1361527246855413432320 ; 7733257546078867161088 ; 43930507019809013628928 ; 249588844717508516642816 ; 1418173210721492838383616
