2.000000000000000000e+01,1.000000000000000000e+00
2.400000000000000000e+01,1.000000000000000000e+00
2.600000000000000000e+01,1.000000000000000000e+00
2.800000000000000000e+01,2.000000000000000000e+00
3.000000000000000000e+01,3.000000000000000000e+00
3.200000000000000000e+01,6.000000000000000000e+00
3.400000000000000000e+01,6.000000000000000000e+00
3.600000000000000000e+01,1.500000000000000000e+01
3.800000000000000000e+01,1.700000000000000000e+01
4.000000000000000000e+01,4.000000000000000000e+01
4.200000000000000000e+01,4.500000000000000000e+01
4.400000000000000000e+01,8.900000000000000000e+01
4.600000000000000000e+01,1.160000000000000000e+02
4.800000000000000000e+01,1.990000000000000000e+02
5.000000000000000000e+01,2.710000000000000000e+02
5.200000000000000000e+01,4.370000000000000000e+02
5.400000000000000000e+01,5.800000000000000000e+02
5.600000000000000000e+01,9.240000000000000000e+02
5.800000000000000000e+01,1.205000000000000000e+03
6.000000000000000000e+01,1.812000000000000000e+03
6.200000000000000000e+01,2.385000000000000000e+03
6.400000000000000000e+01,3.465000000000000000e+03
6.600000000000000000e+01,4.478000000000000000e+03
6.800000000000000000e+01,6.332000000000000000e+03
7.000000000000000000e+01,8.149000000000000000e+03
7.200000000000000000e+01,1.119000000000000000e+04
7.400000000000000000e+01,1.424600000000000000e+04
7.600000000000000000e+01,1.915100000000000000e+04
7.800000000000000000e+01,2.410900000000000000e+04
8.000000000000000000e+01,3.192400000000000000e+04
8.200000000000000000e+01,3.971800000000000000e+04
8.400000000000000000e+01,5.159200000000000000e+04
8.600000000000000000e+01,6.376100000000000000e+04
8.800000000000000000e+01,8.173800000000000000e+04
9.000000000000000000e+01,9.991800000000000000e+04
9.200000000000000000e+01,1.264090000000000000e+05
9.400000000000000000e+01,1.534930000000000000e+05
9.600000000000000000e+01,1.918390000000000000e+05
9.800000000000000000e+01,2.310170000000000000e+05
1.000000000000000000e+02,2.859140000000000000e+05
1.020000000000000000e+02,3.416580000000000000e+05
1.040000000000000000e+02,4.190130000000000000e+05
1.060000000000000000e+02,4.975290000000000000e+05
1.080000000000000000e+02,6.042170000000000000e+05
1.100000000000000000e+02,7.133190000000000000e+05
1.120000000000000000e+02,8.601610000000000000e+05
1.140000000000000000e+02,1.008444000000000000e+06
1.160000000000000000e+02,1.207119000000000000e+06
1.180000000000000000e+02,1.408553000000000000e+06
1.200000000000000000e+02,1.674171000000000000e+06
1.220000000000000000e+02,1.942929000000000000e+06
1.240000000000000000e+02,2.295721000000000000e+06
1.260000000000000000e+02,2.650866000000000000e+06
1.280000000000000000e+02,3.114236000000000000e+06
1.300000000000000000e+02,3.580637000000000000e+06
1.320000000000000000e+02,4.182071000000000000e+06
1.340000000000000000e+02,4.787715000000000000e+06
1.360000000000000000e+02,5.566949000000000000e+06
1.380000000000000000e+02,6.344698000000000000e+06
1.400000000000000000e+02,7.341204000000000000e+06
1.420000000000000000e+02,8.339033000000000000e+06
1.440000000000000000e+02,9.604411000000000000e+06
1.460000000000000000e+02,1.086763100000000000e+07
1.480000000000000000e+02,1.246909200000000000e+07
1.500000000000000000e+02,1.405917400000000000e+07
1.520000000000000000e+02,1.606602500000000000e+07
1.540000000000000000e+02,1.806097900000000000e+07
1.560000000000000000e+02,2.055876700000000000e+07
1.580000000000000000e+02,2.303759400000000000e+07
1.600000000000000000e+02,2.614283900000000000e+07
1.620000000000000000e+02,2.920254300000000000e+07
1.640000000000000000e+02,3.302257300000000000e+07
1.660000000000000000e+02,3.679843300000000000e+07
1.680000000000000000e+02,4.147834400000000000e+07
1.700000000000000000e+02,4.608815700000000000e+07
1.720000000000000000e+02,5.180903100000000000e+07
1.740000000000000000e+02,5.741726400000000000e+07
1.760000000000000000e+02,6.435326900000000000e+07
1.780000000000000000e+02,7.116345200000000000e+07
1.800000000000000000e+02,7.953875100000000000e+07
1.820000000000000000e+02,8.773831100000000000e+07
1.840000000000000000e+02,9.784118300000000000e+07
1.860000000000000000e+02,1.076797170000000000e+08
1.880000000000000000e+02,1.197610750000000000e+08
1.900000000000000000e+02,1.315617440000000000e+08
1.920000000000000000e+02,1.459766740000000000e+08
1.940000000000000000e+02,1.599994620000000000e+08
1.960000000000000000e+02,1.771756870000000000e+08
1.980000000000000000e+02,1.938146580000000000e+08
2.000000000000000000e+02,2.141277420000000000e+08
2.020000000000000000e+02,2.338464630000000000e+08
2.040000000000000000e+02,2.578158890000000000e+08
2.060000000000000000e+02,2.810063250000000000e+08
2.080000000000000000e+02,3.092735260000000000e+08
2.100000000000000000e+02,3.365008300000000000e+08
2.120000000000000000e+02,3.695807140000000000e+08
2.140000000000000000e+02,4.015359550000000000e+08
2.160000000000000000e+02,4.402162060000000000e+08
2.180000000000000000e+02,4.774201760000000000e+08
2.200000000000000000e+02,5.225995640000000000e+08
2.220000000000000000e+02,5.659001810000000000e+08
2.240000000000000000e+02,6.183095980000000000e+08
2.260000000000000000e+02,6.686626980000000000e+08
2.280000000000000000e+02,7.294148800000000000e+08
2.300000000000000000e+02,7.875560690000000000e+08
2.320000000000000000e+02,8.579340160000000000e+08
2.340000000000000000e+02,9.250424980000000000e+08
2.360000000000000000e+02,1.006016526000000000e+09
2.380000000000000000e+02,1.083451816000000000e+09
2.400000000000000000e+02,1.176632247000000000e+09
2.420000000000000000e+02,1.265323971000000000e+09
2.440000000000000000e+02,1.372440782000000000e+09
2.460000000000000000e+02,1.474111053000000000e+09
2.480000000000000000e+02,1.596482232000000000e+09
2.500000000000000000e+02,1.712934069000000000e+09
2.520000000000000000e+02,1.852762875000000000e+09
2.540000000000000000e+02,1.985250572000000000e+09
2.560000000000000000e+02,2.144943655000000000e+09
2.580000000000000000e+02,2.295793276000000000e+09
2.600000000000000000e+02,2.477017558000000000e+09
2.620000000000000000e+02,2.648697036000000000e+09
2.640000000000000000e+02,2.854536850000000000e+09
2.660000000000000000e+02,3.048609900000000000e+09
2.680000000000000000e+02,3.282202941000000000e+09
2.700000000000000000e+02,3.501931260000000000e+09
2.720000000000000000e+02,3.765465341000000000e+09
2.740000000000000000e+02,4.014007928000000000e+09
2.760000000000000000e+02,4.311652376000000000e+09
2.780000000000000000e+02,4.591045471000000000e+09
2.800000000000000000e+02,4.926987377000000000e+09
2.820000000000000000e+02,5.241548270000000000e+09
2.840000000000000000e+02,5.618445787000000000e+09
2.860000000000000000e+02,5.972426835000000000e+09
2.880000000000000000e+02,6.395981131000000000e+09
2.900000000000000000e+02,6.791769082000000000e+09
2.920000000000000000e+02,7.267283603000000000e+09
2.940000000000000000e+02,7.710782991000000000e+09
2.960000000000000000e+02,8.241719706000000000e+09
2.980000000000000000e+02,8.738236515000000000e+09
3.000000000000000000e+02,9.332065811000000000e+09
3.020000000000000000e+02,9.884604767000000000e+09
3.040000000000000000e+02,1.054821875100000000e+10
3.060000000000000000e+02,1.116454276200000000e+10
3.080000000000000000e+02,1.190201572400000000e+10
3.100000000000000000e+02,1.258899886200000000e+10
3.120000000000000000e+02,1.341033048200000000e+10
3.140000000000000000e+02,1.417134479700000000e+10
3.160000000000000000e+02,1.508516457100000000e+10
3.180000000000000000e+02,1.593061930400000000e+10
3.200000000000000000e+02,1.694201045700000000e+10
